200000	200000	6406	46	6500.92	4114.94
207672	205000	6564	47	6653.47	4415.55
219720	207702	6639	48	6728.35	4540.89
234646	212628	6784	49	6874.07	4635.59
237483	215465	6851	50	6944.04	4546.60
328493	220465	6989	51	7087.52	4678.71
360641	225465	7191	52	7293.11	4761.73
365641	230465	7371	53	7466.52	4921.28
382998	235384	7564	54	7673.67	4914.85
387998	240384	7717	55	7836.22	5061.47
475104	245384	7878	56	8022.39	5221.22
482453	247733	7929	57	8078.83	5386.04
542223	249824	7950	58	8101.13	5421.09
730067	254824	8075	59	8256.40	5556.30
760067	259824	9092	60	9318.99	6143.01
775067	264824	10136	61	10409.60	6722.51
800400	268529	10267	62	10545.72	6986.35
1226448	273529	10592	63	10881.50	7409.38
1387799	278529	10701	64	11013.61	7404.92
1414855	281741	10816	65	11128.54	7484.09
1423580	285466	10915	66	11232.12	7568.87
1431729	290455	11058	67	11374.66	7690.40
1456059	295455	11206	68	11520.33	7824.28
1587238	298015	11249	69	11564.12	7911.98
1602238	303015	11299	70	11616.79	7955.19
1857565	308015	11707	71	12043.08	8362.76
2093117	313015	11807	72	12141.99	8397.63
2116456	317369	11956	73	12288.52	8597.87
2138449	320890	12105	74	12446.64	8746.70
2675774	325890	12249	75	12597.98	8844.86
2713156	327167	12306	76	12664.30	8865.47
2793924	331897	12553	77	12932.12	9132.28
2904946	336897	12746	78	13161.81	9544.24
3096242	341897	12821	79	13252.33	9530.11
