200000	200000	6406	46	6500.92	4231.18
207672	205000	6564	47	6653.47	4320.58
212672	210000	6753	48	6835.66	4329.95
246888	215000	6955	49	7052.45	4541.00
257001	219457	7090	50	7186.89	4895.74
296745	222655	7195	51	7297.46	4952.22
330637	227236	7350	52	7458.12	5042.40
342234	232079	7483	53	7589.57	4891.11
357976	235373	7608	54	7719.73	5077.54
465962	240373	8963	55	9128.61	5064.74
469723	244134	9118	56	9281.97	5205.03
551060	249134	12231	57	12520.18	6948.58
579404	254134	12392	58	12675.55	6030.63
583646	258376	12549	59	12825.16	6145.72
597728	263376	12735	60	13011.62	6007.71
602728	268376	12893	61	13170.69	6160.64
855142	273376	14158	62	14485.99	7099.39
936938	278376	16984	63	17422.98	8300.64
955792	283376	17145	64	17587.06	8380.36
969967	288376	17349	65	17794.62	7563.40
1073855	293376	18700	66	19039.11	7740.14
1175996	296005	18777	67	19115.65	7989.49
1199246	301005	18937	68	19268.96	8149.86
1217409	305584	19104	69	19433.98	8283.37
1283961	310584	19211	70	19537.64	8716.48
1399311	315584	19475	71	19781.58	8990.88
1499322	320584	19532	72	19840.33	9047.57
1526007	325584	19579	73	19890.18	9384.13
2129752	329286	20076	74	20422.47	10087.75
2676868	333773	20279	75	20611.44	10312.18
2803334	338773	20456	76	20794.66	11484.89
2818334	343773	21293	77	21828.06	11698.44
2894725	348773	22566	78	23160.55	11915.34
3082863	353773	23051	79	23669.96	12330.87
3191291	358773	23067	80	23687.41	12133.12
3215812	363294	23214	81	23833.01	12250.34
3284195	367895	23301	82	23938.72	12321.10
3355285	369433	23466	83	24090.83	12394.72
3429453	374433	25962	84	27107.93	16004.04
3586317	378802	26213	85	27339.33	15918.03
3675684	383472	26746	86	27901.23	16424.04
