caputo@caputo-N751JX:~/Desktop/Sapienza/reasoning/lrm/src$ python3 run.py --agent="lrm-qrm" --world="waiter" --seed=1 --workers=16
Running qrm in waiter_world using seed 1
SAVING RESULTS!

----------------------
LRM agent: qrm
----------------------

Collecting random traces...
Step: 10000	Train: 1.0
Step: 20000	Train: 1.0
Step: 30000	Train: 2.0
Step: 40000	Train: 0.0
Step: 50000	Train: 1.0
Step: 60000	Train: 0.0
Step: 70000	Train: 1.0
Step: 80000	Train: 0.0
Step: 90000	Train: 1.0
Step: 100000	Train: 1.0
Step: 110000	Train: 0.0
Step: 120000	Train: 2.0
Step: 130000	Train: 1.0
Step: 140000	Train: 1.0
Step: 150000	Train: 0.0
Step: 160000	Train: 1.0
Step: 170000	Train: 1.0
Step: 180000	Train: 1.0
Step: 190000	Train: 0.0
Step: 200000	Train: 2.0
Learning a reward machines...

Parameters
U_max: 10
Num obs: 17
Num traces: 46
Num workers: 16
Neighborhood: 765.0
initial_obs: {'2'}

2.21[m]	56	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4234.31
2.26[m]	57	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4235.69
2.30[m]	58	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4234.65
2.34[m]	59	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4233.96
2.39[m]	60	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4234.21
2.43[m]	61	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4235.26
2.47[m]	62	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4235.00
2.51[m]	63	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4235.24
2.57[m]	64	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4234.02
2.63[m]	65	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4234.28
2.68[m]	66	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4234.71
2.72[m]	67	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4235.93
2.78[m]	68	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4235.49
2.83[m]	69	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4236.36
2.87[m]	70	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4236.10
2.91[m]	71	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4236.79
2.95[m]	72	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4239.13
3.00[m]	73	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4237.75
3.06[m]	74	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4237.05
3.12[m]	75	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4237.05
3.17[m]	76	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4237.05
3.21[m]	77	Perfect RM: 6500.92	Old RM: inf	Best: 4232.57	Current: 4237.05
